t_ms,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
2436.986,0,-3,2,1,1,1,-1,-1
2436.986,1,3,-1,-1,0,-1,-1,0
2437.984,0,1,-2,-1,-1,-1,-1,-2
2437.984,-1,0,-2,0,-3,0,0,0
2459.822,-2,2,-3,-1,-3,-1,-1,-1
2459.822,0,0,1,0,-1,1,0,-1
2460.833,1,0,2,0,0,0,0,-2
2460.833,0,-5,2,-1,1,0,-2,-1
2474.343,2,1,2,0,0,0,-1,-3
2474.343,-1,-2,2,1,0,-1,0,-1
2475.375,-2,2,-2,-3,-1,-1,1,0
2475.375,-1,1,-1,0,-1,-1,-1,0
2497.724,-3,-4,0,-2,-1,-1,0,1
2497.724,3,4,-10,-3,-3,-2,-2,0
2498.739,2,-1,1,1,3,1,1,0
2498.739,-1,0,0,0,-1,1,0,0
2519.71,-1,-2,1,1,0,0,0,0
2519.71,-1,2,1,0,1,0,1,-1
2520.917,-3,-3,-2,1,-3,-1,-1,0
2520.917,-1,-4,2,-2,0,0,0,-1
2534.236,3,2,0,1,-1,-1,-1,0
2534.236,-2,-4,-1,2,1,0,1,0
2534.236,0,1,2,0,-1,0,-2,0
2534.236,1,0,3,2,0,-2,-2,-1
2556.366,-1,3,-4,0,0,-1,0,-1
2556.366,-2,-1,-1,-1,1,1,2,0
2557.432,-1,-1,4,0,-1,1,0,0
2557.432,1,0,-3,-2,-3,0,-1,0
2580.37,-2,2,-4,-1,0,-2,-1,-2
2580.37,-2,0,-1,0,0,-2,1,0
2580.37,-1,1,-4,1,-1,0,-2,-1
2580.37,-1,0,3,1,0,1,0,-2
2594.423,2,1,-3,1,-1,0,0,1
2594.423,-1,-1,-1,0,-2,-1,-1,0
2595.451,0,1,-1,-3,-2,-1,-3,-2
2595.451,-1,-1,0,-2,0,2,1,-1
2625.589,0,-1,1,-2,0,0,0,-1
2625.589,1,-1,3,-4,-2,-2,0,-2
2626.588,0,2,-3,-1,-3,-1,1,-2
2626.588,1,-1,-1,-1,2,1,0,0
2639.939,-2,-2,0,-1,-1,-1,-1,0
2639.939,-1,3,-2,-1,2,0,-2,0
2641.004,-1,-2,-1,0,0,-1,-1,1
2641.004,-2,-1,3,1,0,0,0,0
2654.36,0,-3,-4,0,-2,-1,-1,-2
2654.36,0,-2,2,0,-2,-2,-2,-1
2655.4,0,-1,1,-1,2,-1,0,0
2655.4,1,4,-5,-3,-4,-2,1,-2
2676.554,1,-4,2,3,0,1,-1,-1
2676.554,-2,-4,-3,0,-2,1,0,0
2677.723,-1,-1,-2,1,3,1,-1,-1
2677.723,1,-5,6,1,-1,-1,-1,0
2699.999,-4,-4,2,1,-2,1,1,0
2699.999,-3,1,0,-1,2,1,2,-2
2701.012,0,0,2,1,-1,-1,-1,1
2701.012,0,1,-2,0,0,-1,-3,0
2714.492,0,2,0,0,-2,-2,0,-1
2714.492,-1,-3,1,1,-2,-2,2,1
2714.492,-1,-2,1,-1,1,0,1,-1
2714.492,-2,0,0,0,1,-1,0,0
