pc_t_ms,emg_t_ms,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
1678,2466,-4,-1,-1,-5,23,-8,-8,-14
1678,2466,-1,19,-6,0,52,13,4,-1
1692,2480,4,26,3,4,27,28,3,10
1692,2480,2,23,5,8,33,20,3,5
1693,2481,-4,1,-1,-8,23,-4,-13,-9
1693,2481,-1,19,-1,1,57,13,8,-2
1714,2502,1,25,0,11,28,26,4,7
1714,2502,3,23,-2,12,35,19,5,6
1716,2504,-6,0,-2,-10,25,-3,-10,-11
1716,2504,-2,21,-1,0,60,18,7,-2
1737,2524,2,27,-3,10,28,27,3,9
1737,2524,4,24,2,4,31,20,5,6
1738,2526,-6,3,-3,-14,24,-1,-11,-12
1738,2526,2,22,-2,1,58,18,7,-2
1759,2547,1,26,4,6,29,24,3,9
1759,2547,4,24,-1,13,33,20,5,6
1761,2548,-4,3,-2,-23,27,0,-9,-15
1761,2548,0,23,-2,0,60,20,8,-2
1774,2562,2,25,1,6,29,24,4,10
1774,2562,4,25,0,8,30,20,6,6
1776,2563,-5,2,1,-11,25,-2,-12,-15
1776,2563,0,22,-3,2,55,17,7,-2
1797,2585,1,25,7,-2,29,24,-2,5
1797,2585,4,26,-4,4,31,22,8,5
1798,2586,-3,2,-5,-12,27,0,-10,-18
1798,2586,0,21,4,4,57,18,7,-2
1811,2599,3,24,-4,12,28,25,2,9
1811,2599,1,26,2,8,31,23,5,5
1818,2605,-6,4,2,-9,28,2,-6,-16
1818,2605,0,21,-2,7,50,16,7,-3
1834,2622,0,23,-3,7,30,25,2,9
1834,2622,3,26,2,14,29,23,4,6
1836,2623,-8,3,-5,-11,29,-2,-8,-20
1836,2623,2,23,3,4,43,18,6,-2
1864,2652,4,22,0,3,26,23,4,8
1864,2652,3,26,-2,8,30,24,4,7
1866,2654,-7,6,0,-10,26,0,-11,-19
1866,2654,3,20,-2,2,42,16,7,-3
1871,2659,1,21,1,10,31,23,3,8
1871,2659,4,26,-3,2,27,23,5,5
1878,2665,-5,9,-3,-14,28,-1,-12,-20
1878,2665,4,22,3,9,43,17,10,-2
1894,2682,5,22,0,4,26,23,3,8
1894,2682,6,25,2,8,29,23,7,5
1896,2683,-6,11,-3,-12,26,3,-9,-18
1896,2683,-1,20,2,2,50,17,8,-2
1924,2712,1,21,-1,8,29,20,3,9
1924,2712,5,25,-1,12,28,23,4,4
1925,2714,-9,12,0,-12,28,6,-9,-23
1926,2714,0,20,-2,2,53,16,7,-3
1931,2718,2,20,3,7,29,20,1,10
1931,2718,4,24,-1,13,25,22,0,4
1938,2726,-5,14,-2,-9,26,8,-10,-23
1938,2726,2,27,3,1,59,17,8,-1
1954,2742,0,20,-3,3,29,19,4,9
1954,2742,5,24,-1,6,25,21,1,4
1956,2743,-5,16,-1,-14,27,10,-11,-20
1956,2743,0,27,-2,5,61,23,9,-3
1976,2763,2,20,-1,13,31,19,3,11
1976,2763,2,25,2,3,29,21,1,4
1984,2772,-6,15,-3,-19,26,12,-7,-23
1984,2772,2,32,6,10,60,25,9,-2
1991,2779,3,21,-2,3,32,18,1,10
1991,2779,2,24,0,12,23,21,4,3
1998,2785,-8,17,-1,-12,24,13,-11,-21
1998,2785,3,40,-1,6,65,30,8,-2
2014,2802,2,22,-2,7,34,19,2,8
2014,2802,2,24,3,11,19,21,1,4
2015,2803,-7,18,-2,-12,26,14,-10,-25
2016,2803,3,35,0,3,50,28,3,-2
2036,2824,3,21,1,6,31,19,4,10
2037,2824,2,25,-4,6,20,22,2,3
2038,2826,-3,18,-2,-20,24,14,-7,-21
2038,2826,0,33,-1,7,49,25,7,-1
2051,2838,4,21,2,0,33,18,1,7
2051,2838,2,25,-1,10,17,22,0,4
